	index	average_score
266	lig_267	-871.56
267	lig_268	-844.896
268	lig_269	-823.829
269	lig_270	-797.317
270	lig_271	-789.852
271	lig_272	-644.803
272	lig_273	-877.091
273	lig_274	-891.595
274	lig_275	-803.87
275	lig_276	-835.189
276	lig_277	-815.852
277	lig_278	-817.478
278	lig_279	-803.137
279	lig_280	-818.592
280	lig_281	-877.047
281	lig_282	-801.845
282	lig_283	-801.196
283	lig_284	-826.849
284	lig_285	-771.875
285	lig_286	-809.872
286	lig_287	-843.161
287	lig_288	-838.953
288	lig_289	-830.676
289	lig_290	-792.963
290	lig_291	-881.783
291	lig_292	-811.072
292	lig_293	-766.231
293	lig_294	-844.095
294	lig_295	-842.566
295	lig_296	-799.047
296	lig_297	-817.284
297	lig_298	-809.497
298	lig_299	-812.862
299	lig_300	-844.346
300	lig_301	-778.358
301	lig_302	-850.697
302	lig_303	-878.817
303	lig_304	-784.252
304	lig_305	-787.373
305	lig_306	-771.687
306	lig_307	-427.652
307	lig_308	-809.937
308	lig_309	-836.357
309	lig_310	-679.006
310	lig_311	-790.209
311	lig_312	-849.805
312	lig_313	-860.211
313	lig_314	-821.192
314	lig_315	-783.145
315	lig_316	-846.917
316	lig_317	-812.335
317	lig_318	-785.36
318	lig_319	-784.17
319	lig_320	-806.571
320	lig_321	-860.977
321	lig_322	-777.878
322	lig_323	-818.55
323	lig_324	-837.965
324	lig_325	-826.042
325	lig_326	-814.619
326	lig_327	-789.888
327	lig_328	-798.455
328	lig_329	-800.979
329	lig_330	-845.346
330	lig_331	-802.631
331	lig_332	-842.736
332	lig_333	-796.16
333	lig_334	-865.611
334	lig_335	-794.229
335	lig_336	-796.953
336	lig_337	-853.534
337	lig_338	-721.581
338	lig_339	-781.225
339	lig_340	-817.868
340	lig_341	-830.878
341	lig_342	-799.32
342	lig_343	-768.374
343	lig_344	-847.857
344	lig_345	-851.127
345	lig_346	-771.006
346	lig_347	-842.658
347	lig_348	-856.329
348	lig_349	-840.625
349	lig_350	-791.267
350	lig_351	-778.195
351	lig_352	-769.454
352	lig_353	-790.177
353	lig_354	-786.807
354	lig_355	-753.345
355	lig_356	-820.696
356	lig_357	-872.095
357	lig_358	-462.702
358	lig_359	-855.779
359	lig_360	-833.048
360	lig_361	-820.742
361	lig_362	-807.32
362	lig_363	-673.941
363	lig_364	-730.879
364	lig_365	-757.882
365	lig_366	-824.154
366	lig_367	-448.929
367	lig_368	-815.497
368	lig_369	-627.139
369	lig_370	-797.592
370	lig_371	-783.654
371	lig_372	-651.177
372	lig_373	-828.258
373	lig_374	-831.521
374	lig_375	-838.208
375	lig_376	-785.807
376	lig_377	-767.565
377	lig_378	-796.094
378	lig_379	-756.776
379	lig_380	-794.055
380	lig_381	-803.801
381	lig_382	-783.308
382	lig_383	-873.613
383	lig_384	-830.057
384	lig_385	-827.474
385	lig_386	-836.702
386	lig_387	-859.593
387	lig_388	-832.788
388	lig_389	-806.551
389	lig_390	-797.689
390	lig_391	-773.074
391	lig_392	-784.229
392	lig_393	-813.727
393	lig_394	-801.744
394	lig_395	-770.928
395	lig_396	-817.405
396	lig_397	-840.757
397	lig_398	-847.453
398	lig_399	-808.987
399	lig_400	-819.016
400	lig_401	-652.021
401	lig_402	-773.411
402	lig_403	-822.321
403	lig_404	-837.886
404	lig_405	-771.296
405	lig_406	-788.696
406	lig_407	-861.915
407	lig_408	-650.498
408	lig_409	-853.589
409	lig_410	-897.532
410	lig_411	-823.622
411	lig_412	-844.261
412	lig_413	-824.281
413	lig_414	-813.843
414	lig_415	-778.804
415	lig_416	-817.668
416	lig_417	-803.616
417	lig_418	-780.704
418	lig_419	-815.407
419	lig_420	-836.89
420	lig_421	-788.056
421	lig_422	-858.701
422	lig_423	-892.608
423	lig_424	-792.41
424	lig_425	-830.002
425	lig_426	-789.962
426	lig_427	-781.425
427	lig_428	-843.952
428	lig_429	-838.18
429	lig_430	-676.67
430	lig_431	-465.368
431	lig_432	-886.136
432	lig_433	-792.97
433	lig_434	-834.052
434	lig_435	-831.82
435	lig_436	-877.588
436	lig_437	-812.44
437	lig_438	-682.855
438	lig_439	-796.44
439	lig_440	-796.484
440	lig_441	-851.706
441	lig_442	-654.132
442	lig_443	-814.994
443	lig_444	-798.369
444	lig_445	-802.697
445	lig_446	-791.418
446	lig_447	-848.206
447	lig_448	-789.603
448	lig_449	-833.038
449	lig_450	-756.702
450	lig_451	-828.4
451	lig_452	-803.435
452	lig_453	-782.599
453	lig_454	-809.811
454	lig_455	-862.738
455	lig_456	-862.574
456	lig_457	-826.849
457	lig_458	-820.451
458	lig_459	-866.303
459	lig_460	-804.592
460	lig_461	-811.149
461	lig_462	-788.244
462	lig_463	-844.178
463	lig_464	-869.344
464	lig_465	-806.097
465	lig_466	-850.602
466	lig_467	-832.449
467	lig_468	-819.021
468	lig_469	-866.101
469	lig_470	-881.994
470	lig_471	-795.284
471	lig_472	-837.175
472	lig_473	-810.25
473	lig_474	-823.269
474	lig_475	-802.456
475	lig_476	-886.06
476	lig_477	-776.675
477	lig_478	-777.36
478	lig_479	-868.419
479	lig_480	-773.593
480	lig_481	-874.395
481	lig_482	-854.059
482	lig_483	-802.147
483	lig_484	-864.078
484	lig_485	-810.048
485	lig_486	-815.879
486	lig_487	-796.676
487	lig_488	-792.569
488	lig_489	-803.193
489	lig_490	-822.194
490	lig_491	-657.384
491	lig_492	-796.44
492	lig_493	-837.48
493	lig_494	-821.872
494	lig_495	-860.077
495	lig_496	-779.952
496	lig_497	-864.535
497	lig_498	-890.558
498	lig_499	-850.84
499	lig_500	-842.119
500	lig_501	-815.54
501	lig_502	-824.116
502	lig_503	-806.418
503	lig_504	-802.2
504	lig_505	-857.751
505	lig_506	-843.637
506	lig_507	-780.069
507	lig_508	-798.972
508	lig_509	-826.344
